bill_id,bill_type,subjects_top_term,cosponsors,num_cosponsors,num_support,enacted_as
s1704-115,s,Immigration,['H001042'],1,2,0
s795-115,s,Labor and employment,['H000338'],1,2,0
s3437-115,s,"Science, technology, communications","['H001076', 'H001061']",2,3,0
s1360-115,s,Finance and financial sector,['T000464'],1,2,0
s1152-115,s,Finance and financial sector,"['B001267', 'B001288', 'C001113', 'D000622', 'F000457', 'G000562', 'H001075', 'H001069', 'H001042', 'L000174', 'M000133', 'M000639', 'M001153', 'M001111', 'P000603', 'S000033', 'S001194', 'S001198', 'W000817', 'W000779']",20,21,0
s3605-115,s,Animals,[],0,1,0
s2976-115,s,Economics and public finance,[],0,1,0
s3098-115,s,Government operations and politics,[],0,1,0
s108-115,s,Taxation,"['A000360', 'B001277', 'C001070', 'C001095', 'C000880', 'D000607', 'D000622', 'E000285', 'F000463', 'F000457', 'G000386', 'H001076', 'H001079', 'I000024', 'I000055', 'J000300', 'K000367', 'P000449', 'R000595', 'S001181', 'S001203', 'T000476', 'T000461', 'W000437', 'Y000064']",25,26,0
s2378-115,s,Taxation,['D000622'],1,2,0
s934-115,s,Health,['M001111'],1,2,0
s1199-115,s,Emergency management,"['J000293', 'T000464']",2,3,0
s598-115,s,Taxation,['P000603'],1,2,0
s1951-115,s,Armed forces and national security,[],0,1,0
s3408-115,s,Education,"['B001267', 'B001277', 'F000062', 'G000555', 'H001075', 'H001042', 'K000367', 'V000128']",8,9,0
s2982-115,s,Foreign trade and international finance,"['G000555', 'P000595', 'S000770']",3,4,0
s1509-115,s,Health,"['D000607', 'M000639', 'N000032', 'R000595', 'S001184']",5,6,0
s960-115,s,Government operations and politics,"['D000618', 'G000562', 'H001076']",3,4,0
s2922-115,s,Health,"['B000944', 'C000174', 'H001041', 'M001183', 'S001181', 'W000802']",6,7,0
s48-115,s,Taxation,"['K000367', 'L000174']",2,3,0
s2748-115,s,Armed forces and national security,"['C001088', 'R000605']",2,3,0
