bill_id,bill_type,subjects_top_term,cosponsors,num_cosponsors,num_support,enacted_as
hjres144-115,hjres,Environmental protection,"['B001300', 'J000298']",2,3,0
hjres143-115,hjres,Economics and public finance,[],0,1,1
hjres126-115,hjres,Government operations and politics,"['C001068', 'D000623', 'N000147', 'W000800']",4,5,0
hjres119-115,hjres,Economics and public finance,"['B001293', 'C001103', 'D000616', 'G000565', 'G000568', 'G000558', 'K000386', 'M001184', 'M001187', 'M001195', 'P000601', 'S000051', 'S000244', 'W000806', 'Z000017']",15,16,0
hjres121-115,hjres,Families,"['A000372', 'B001291', 'B001299', 'B001305', 'C000059', 'C001105', 'D000615', 'D000533', 'H001053', 'H001071', 'H001058', 'L000564', 'M001158', 'M001187', 'M001195', 'N000184', 'N000190', 'P000606', 'P000599', 'W000798']",20,21,0
hjres117-115,hjres,"Civil rights and liberties, minority issues","['B001292', 'B001290', 'C001105', 'C001078', 'G000289', 'G000568', 'M001200', 'N000147', 'S000185', 'T000477', 'W000804']",11,12,0
hjres128-115,hjres,Armed forces and national security,[],0,1,0
hjres110-115,hjres,Economics and public finance,['C001063'],1,2,0
hjres142-115,hjres,International affairs,[],0,1,0
hjres145-115,hjres,Taxation,"['B001292', 'C001112', 'C000754', 'C000984', 'D000623', 'D000610', 'D000624', 'G000559', 'H000324', 'J000298', 'K000188', 'L000579', 'M000087', 'M000312', 'N000147', 'P000607', 'S001168', 'S001145', 'W000800']",19,20,0
hjres111-115,hjres,Finance and financial sector,"['B001282', 'B001305', 'D000626', 'D000614', 'E000294', 'H001036', 'H001072', 'H001074', 'H001058', 'H001059', 'K000210', 'K000392', 'L000583', 'L000584', 'L000491', 'L000569', 'M001193', 'M001156', 'M001189', 'M001195', 'P000588', 'P000606', 'P000611', 'P000599', 'R000593', 'R000487', 'S000250', 'S001187', 'T000478', 'T000470', 'T000475', 'W000812', 'W000816', 'Z000017']",34,35,1
hjres116-115,hjres,Health,"['B001300', 'C001067', 'E000296', 'H000324', 'J000298', 'K000009', 'K000385', 'K000389', 'N000147', 'P000604', 'T000193', 'W000822']",12,13,0
hjres129-115,hjres,"Science, technology, communications","['A000370', 'A000371', 'B001300', 'B001270', 'B001281', 'B001287', 'B001292', 'B000490', 'B000574', 'B001303', 'B001278', 'B001245', 'B001296', 'B001304', 'B001285', 'B001286', 'C001037', 'C001112', 'C001097', 'C001072', 'C001066', 'C001091', 'C001080', 'C001084', 'C001101', 'C001067', 'C001049', 'C000537', 'C001068', 'C001078', 'C000754', 'C001069', 'C001111', 'C001038', 'C000984', 'D000096', 'D000598', 'D000191', 'D000197', 'D000620', 'D000216', 'D000617', 'D000627', 'D000623', 'D000610', 'D000624', 'D000399', 'E000288', 'E000179', 'E000215', 'E000297', 'E000293', 'F000454', 'F000462', 'F000455', 'G000571', 'G000574', 'G000559', 'G000585', 'G000551', 'G000535', 'H001050', 'H001064', 'H001038', 'H001047', 'H000874', 'H001068', 'J000032', 'J000298', 'J000294', 'J000126', 'J000288', 'K000009', 'K000375', 'K000385', 'K000379', 'K000389', 'K000390', 'K000380', 'K000381', 'K000188', 'K000391', 'K000382', 'L000588', 'L000559', 'L000560', 'L000557', 'L000581', 'L000586', 'L000551', 'L000263', 'L000287', 'L000563', 'L000565', 'L000397', 'L000579', 'L000480', 'L000580', 'L000570', 'L000562', 'M000087', 'M001185', 'M001163', 'M001143', 'M001200', 'M000312', 'M001166', 'M001188', 'M001160', 'M001206', 'M001196', 'N000002', 'N000179', 'N000015', 'N000127', 'N000188', 'N000147', 'O000170', 'P000034', 'P000613', 'P000096', 'P000197', 'P000593', 'P000258', 'P000597', 'P000607', 'P000598', 'P000523', 'Q000023', 'R000606', 'R000602', 'R000588', 'R000608', 'R000486', 'R000599', 'R000577', 'S001177', 'S001156', 'S001168', 'S001145', 'S001150', 'S001180', 'S000185', 'S000248', 'S001185', 'S001170', 'S000344', 'S001165', 'S000480', 'S000510', 'S001200', 'S001175', 'S001201', 'S001193', 'T000472', 'T000460', 'T000468', 'T000469', 'T000474', 'T000465', 'V000130', 'V000131', 'V000081', 'V000108', 'W000799', 'W000797', 'W000187', 'W000822', 'W000800', 'W000808', 'Y000062']",171,172,0
hjres120-115,hjres,Crime and law enforcement,"['B001296', 'E000296', 'G000553', 'J000298', 'J000288', 'J000255', 'L000582', 'P000604', 'R000606', 'W000187', 'W000808']",11,12,0
hjres127-115,hjres,Armed forces and national security,[],0,1,0
hjres118-115,hjres,International affairs,"['B001298', 'B001297', 'B001289', 'C000754', 'G000574', 'P000613', 'S001175']",7,8,0
hjres58-115,hjres,Education,"['A000372', 'A000375', 'B001302', 'B001289', 'F000465', 'F000450', 'J000290', 'M001201', 'R000582', 'S000250', 'S001196', 'T000467', 'Y000065']",13,14,1
hjres93-115,hjres,Crime and law enforcement,"['C000266', 'R000487']",2,3,0
hjres67-115,hjres,Labor and employment,"['F000450', 'M001189', 'M001201', 'R000582', 'S000250', 'W000798', 'W000795']",7,8,1
hjres60-115,hjres,Environmental protection,"['B001302', 'C001096', 'G000552', 'G000565', 'P000588', 'R000600', 'S000250']",7,8,0
hjres94-115,hjres,Taxation,['W000810'],1,2,0
hjres69-115,hjres,Public lands and natural resources,"['M001195', 'S000250']",2,3,1
hjres56-115,hjres,Energy,"['B001302', 'C001096', 'G000552', 'G000565', 'L000564', 'M001195', 'N000189', 'R000600', 'S001192', 'W000821']",10,11,0
hjres51-115,hjres,Health,"['A000374', 'A000055', 'A000372', 'A000369', 'A000375', 'B001291', 'B001298', 'B001299', 'B001269', 'B001282', 'B000213', 'B001287', 'B001302', 'B001257', 'B001293', 'B001250', 'B001273', 'B001243', 'B001294', 'B001295', 'B001290', 'B001283', 'B001284', 'B001285', 'B001297', 'B001275', 'B001305', 'B001248', 'B001289', 'C000059', 'C001103', 'C001051', 'C000266', 'C001109', 'C001077', 'C001053', 'C001092', 'C001093', 'C001108', 'C001105', 'C001094', 'C001106', 'C001069', 'C001087', 'C001048', 'D000626', 'D000619', 'D000197', 'D000612', 'D000621', 'D000616', 'D000600', 'D000625', 'D000614', 'D000615', 'D000533', 'D000628', 'E000294', 'F000460', 'F000464', 'F000465', 'F000459', 'F000461', 'F000448', 'G000563', 'G000552', 'G000581', 'G000289', 'G000565', 'G000566', 'G000377', 'G000577', 'G000546', 'G000560', 'G000410', 'G000568', 'G000576', 'G000558', 'H001050', 'H001045', 'H001052', 'H001036', 'H001071', 'H001072', 'H001074', 'H001067', 'H001058', 'H001059', 'H001048', 'H001073', 'J000297', 'J000290', 'J000292', 'J000126', 'J000288', 'J000174', 'J000255', 'J000289', 'K000376', 'K000388', 'K000210', 'K000362', 'K000378', 'K000387', 'K000392', 'L000585', 'L000578', 'L000564', 'L000567', 'L000566', 'L000587', 'L000582', 'L000576', 'L000583', 'L000584', 'L000491', 'L000569', 'M001193', 'M001158', 'M001179', 'M001198', 'M001157', 'M001177', 'M001156', 'M001180', 'M001159', 'M001187', 'M001181', 'M001137', 'M001189', 'M001201', 'M001194', 'M001195', 'M001190', 'M001202', 'M001151', 'N000189', 'N000188', 'O000171', 'O000168', 'P000601', 'P000609', 'P000588', 'P000258', 'P000606', 'P000611', 'P000599', 'R000601', 'R000585', 'R000586', 'R000591', 'R000575', 'R000592', 'R000607', 'R000435', 'R000608', 'R000580', 'R000603', 'R000487', 'R000599', 'R000604', 'R000609', 'S001156', 'S000051', 'S001176', 'S001190', 'S001183', 'S001189', 'S001157', 'S000244', 'S000250', 'S000364', 'S001154', 'S001191', 'S001165', 'S001172', 'S000583', 'S001199', 'S001187', 'T000478', 'T000467', 'T000238', 'T000462', 'T000470', 'T000474', 'T000475', 'T000463', 'U000031', 'V000132', 'W000812', 'W000798', 'W000819', 'W000813', 'W000820', 'W000822', 'W000814', 'W000806', 'W000815', 'W000821', 'W000816', 'W000795', 'W000809', 'Y000063', 'Y000065', 'Y000066', 'Y000033', 'Z000017']",207,208,0
hjres34-115,hjres,Energy,['P000588'],1,2,0
hjres33-115,hjres,"Civil rights and liberties, minority issues","['A000370', 'A000371', 'B001300', 'B001270', 'B001281', 'B001287', 'B001292', 'B000490', 'B000574', 'B001303', 'B001278', 'B001296', 'B001285', 'B001286', 'C001037', 'C001112', 'C001097', 'C001090', 'C001066', 'C001091', 'C001084', 'C001101', 'C001067', 'C001049', 'C001068', 'C001078', 'C000714', 'C000754', 'C001110', 'C001059', 'C001069', 'C001111', 'C001038', 'C000984', 'D000096', 'D000598', 'D000191', 'D000197', 'D000620', 'D000216', 'D000617', 'D000627', 'D000604', 'D000623', 'D000610', 'D000624', 'D000399', 'E000288', 'E000179', 'E000215', 'E000297', 'E000293', 'F000454', 'F000462', 'F000372', 'F000455', 'G000574', 'G000559', 'G000585', 'G000583', 'G000553', 'G000410', 'G000551', 'G000535', 'H001050', 'H000324', 'H001064', 'H001038', 'H001047', 'H000874', 'H001068', 'J000032', 'J000298', 'J000294', 'J000288', 'K000009', 'K000375', 'K000385', 'K000379', 'K000389', 'K000390', 'K000380', 'K000381', 'K000188', 'K000391', 'K000382', 'L000567', 'L000559', 'L000560', 'L000557', 'L000581', 'L000586', 'L000551', 'L000287', 'L000582', 'L000554', 'L000565', 'L000397', 'L000579', 'L000480', 'L000580', 'L000562', 'M001185', 'M001163', 'M001200', 'M000312', 'M001166', 'M001137', 'M001188', 'M001160', 'M001196', 'N000002', 'N000179', 'N000015', 'N000188', 'N000147', 'O000171', 'P000034', 'P000096', 'P000604', 'P000593', 'P000608', 'P000258', 'P000597', 'P000610', 'P000607', 'P000598', 'P000523', 'Q000023', 'R000606', 'R000585', 'R000602', 'R000486', 'R000576', 'R000515', 'R000577', 'S001177', 'S001156', 'S001168', 'S001145', 'S001150', 'S001190', 'S001157', 'S000248', 'S001170', 'S000344', 'S001191', 'S001165', 'S000510', 'S001200', 'S001175', 'S001201', 'S001193', 'T000472', 'T000193', 'T000460', 'T000468', 'T000469', 'T000465', 'V000130', 'V000131', 'V000132', 'V000081', 'W000799', 'W000797', 'W000187', 'W000822', 'W000808', 'Y000062']",169,170,0
hjres50-115,hjres,Congress,"['A000375', 'B001291', 'B001274', 'B001305', 'B001289', 'C001115', 'D000626', 'D000616', 'D000615', 'H001071', 'H001074', 'H001067', 'R000597', 'R000582', 'R000607', 'S001183', 'Z000017']",17,18,0
hjres68-115,hjres,Public lands and natural resources,"['G000565', 'P000588']",2,3,0
hjres57-115,hjres,Education,"['A000372', 'A000375', 'B001302', 'B001305', 'B001289', 'F000465', 'F000450', 'G000576', 'M001201', 'S000250', 'S001196', 'T000467', 'Y000065']",13,14,1
hjres95-115,hjres,"Arts, culture, religion","['C001068', 'C001111', 'H000324', 'J000288', 'K000210', 'L000551', 'M001137', 'N000147', 'W000808']",9,10,0
hjres61-115,hjres,"Civil rights and liberties, minority issues","['A000374', 'A000055', 'A000369', 'B001243', 'B001289', 'C000266', 'C001053', 'C001094', 'F000449', 'F000448', 'F000372', 'G000584', 'J000297', 'J000292', 'J000174', 'J000255', 'K000388', 'L000589', 'L000554', 'M001198', 'M001151', 'N000189', 'O000168', 'P000601', 'P000588', 'R000582', 'R000575', 'R000603', 'W000791', 'W000795', 'Y000066']",31,32,0
hjres59-115,hjres,Environmental protection,"['A000055', 'A000372', 'A000369', 'B001291', 'B001299', 'B001302', 'B001243', 'B001295', 'B001283', 'B001275', 'C001103', 'C001109', 'C001053', 'C001093', 'C001096', 'C001048', 'D000626', 'D000615', 'E000294', 'F000460', 'F000465', 'F000448', 'G000552', 'G000565', 'G000577', 'G000546', 'G000560', 'G000568', 'G000576', 'H001053', 'H001071', 'H001077', 'H001067', 'H001058', 'J000297', 'J000299', 'K000362', 'K000378', 'L000566', 'L000576', 'L000583', 'L000491', 'M001158', 'M001157', 'M001197', 'N000189', 'N000184', 'P000588', 'P000605', 'R000600', 'R000582', 'R000607', 'R000583', 'R000593', 'R000604', 'S000250', 'S001195', 'S000583', 'T000238', 'T000462', 'T000470', 'W000812', 'W000798', 'W000814', 'W000821']",65,66,0
hjres66-115,hjres,Labor and employment,"['F000450', 'M001189', 'M001201', 'R000582', 'R000607', 'S000250', 'W000795']",7,8,1
hjres92-115,hjres,Transportation and public works,"['B001292', 'B001304', 'C001078', 'D000620', 'H000874', 'N000147', 'R000606']",7,8,0
hjres32-115,hjres,Government operations and politics,"['L000569', 'M001159', 'P000258']",3,4,0
hjres35-115,hjres,Public lands and natural resources,[],0,1,0
hjres19-115,hjres,Government operations and politics,"['B001285', 'C000754', 'G000559', 'P000598', 'S001200']",5,6,0
hjres26-115,hjres,Government operations and politics,"['B000574', 'B001303', 'B001286', 'C001072', 'C001066', 'C001084', 'C001101', 'C001068', 'C001078', 'C000714', 'C001069', 'D000216', 'D000623', 'D000399', 'E000288', 'F000455', 'G000559', 'G000551', 'H001050', 'H000324', 'J000032', 'J000298', 'J000126', 'L000557', 'L000551', 'M000312', 'N000002', 'P000608', 'P000597', 'P000607', 'R000577', 'S001156', 'S001170', 'S001200', 'S001175', 'T000472', 'T000193', 'T000469', 'W000800']",39,40,0
hjres21-115,hjres,Taxation,"['D000615', 'G000552']",2,3,0
hjres28-115,hjres,Government operations and politics,"['C001112', 'P000604']",2,3,0
hjres17-115,hjres,Congress,"['A000372', 'B001282', 'C001077', 'C001108', 'P000599', 'R000598', 'S000051', 'W000813', 'Z000017']",9,10,0
hjres10-115,hjres,International affairs,[],0,1,0
hjres44-115,hjres,Public lands and natural resources,"['A000369', 'B001302', 'B001250', 'C001076', 'C001096', 'G000552', 'G000565', 'L000573', 'L000584', 'N000189', 'P000588', 'R000600', 'S000250', 'S001192', 'T000470', 'Y000033']",16,17,1
hjres43-115,hjres,Health,"['A000374', 'A000055', 'A000372', 'A000367', 'A000375', 'B001291', 'B001298', 'B001299', 'B001269', 'B001282', 'B001302', 'B001257', 'B001293', 'B001250', 'B001243', 'B001295', 'B000755', 'B001290', 'B001283', 'B001274', 'B001305', 'B001289', 'C000059', 'C001103', 'C001051', 'C001076', 'C001109', 'C001053', 'C001093', 'C001108', 'C001062', 'C001096', 'C001048', 'D000626', 'D000621', 'D000616', 'D000615', 'D000533', 'D000628', 'E000294', 'F000460', 'F000465', 'F000459', 'F000461', 'F000449', 'F000450', 'F000448', 'G000579', 'G000580', 'G000563', 'G000552', 'G000565', 'G000566', 'G000377', 'G000560', 'G000568', 'G000576', 'G000558', 'H001045', 'H001052', 'H001053', 'H001036', 'H001071', 'H001077', 'H001072', 'H001074', 'H001067', 'H001058', 'H001059', 'J000297', 'J000290', 'J000292', 'J000174', 'J000255', 'J000289', 'J000295', 'K000376', 'K000388', 'K000362', 'K000387', 'K000392', 'L000578', 'L000564', 'L000566', 'L000587', 'L000576', 'L000583', 'L000584', 'L000491', 'L000569', 'M001158', 'M001198', 'M001187', 'M001189', 'M001201', 'M001194', 'M001195', 'M001190', 'M001151', 'N000189', 'N000184', 'O000168', 'P000601', 'P000609', 'P000588', 'P000258', 'P000606', 'P000592', 'P000599', 'R000601', 'R000586', 'R000597', 'R000591', 'R000582', 'R000395', 'R000575', 'R000409', 'R000592', 'R000607', 'R000580', 'R000598', 'R000603', 'R000604', 'S001176', 'S001189', 'S000244', 'S000250', 'S000364', 'S001172', 'S000522', 'S001195', 'S000583', 'S001192', 'T000467', 'T000462', 'T000463', 'W000812', 'W000798', 'W000819', 'W000813', 'W000814', 'W000806', 'W000815', 'W000821', 'W000795', 'Y000063', 'Y000065']",147,148,1
hjres88-115,hjres,"Civil rights and liberties, minority issues","['C001037', 'C001101', 'C001068', 'C000754', 'D000191', 'G000551', 'K000375', 'L000559', 'L000551', 'L000582', 'L000565', 'L000562', 'P000597', 'T000472', 'T000465', 'W000800']",16,17,0
hjres81-115,hjres,Health,[],0,1,0
hjres75-115,hjres,International affairs,"['B001300', 'C001084', 'C001061', 'C001068', 'G000551', 'J000032', 'J000288', 'K000389', 'L000551', 'M000312', 'N000147', 'R000606', 'S000480']",13,14,0
hjres72-115,hjres,International affairs,"['B001299', 'B001290', 'D000615', 'H001048', 'J000255', 'L000578', 'M001187', 'P000609', 'R000435']",9,10,0
hjres86-115,hjres,"Science, technology, communications","['B001257', 'B001284', 'C001092', 'C001106', 'C001096', 'F000461', 'G000558', 'J000292', 'K000378', 'L000567', 'L000566', 'L000576', 'O000168', 'S001176', 'S000364', 'W000820']",16,17,0
hjres11-115,hjres,Environmental protection,"['B001282', 'B001295', 'B001275', 'B001289', 'C001094', 'C001096', 'D000619', 'F000459', 'F000461', 'G000565', 'G000568', 'H001052', 'J000295', 'K000376', 'K000378', 'L000585', 'M001177', 'M001195', 'R000395', 'S000364', 'S001187', 'T000467', 'T000470', 'W000812', 'W000821', 'W000809']",26,27,0
hjres29-115,hjres,Economics and public finance,"['B000213', 'B001290', 'C001103', 'C001093', 'D000619', 'D000616', 'G000566', 'G000568', 'H001071', 'M001189', 'N000184', 'S001183', 'S000583', 'T000478']",14,15,0
hjres16-115,hjres,Environmental protection,[],0,1,0
hjres20-115,hjres,Congress,[],0,1,0
hjres18-115,hjres,Economics and public finance,[],0,1,0
hjres27-115,hjres,Government operations and politics,"['A000374', 'A000055', 'A000372', 'B001291', 'B001269', 'B001282', 'B001273', 'B001295', 'B001283', 'B001289', 'C001093', 'C001062', 'D000626', 'D000619', 'D000614', 'D000615', 'D000628', 'F000461', 'F000450', 'F000448', 'G000563', 'G000552', 'G000576', 'H001045', 'H001052', 'H001053', 'H001071', 'H001072', 'H001058', 'H001059', 'J000289', 'K000376', 'K000388', 'K000362', 'L000585', 'L000564', 'L000566', 'L000583', 'L000569', 'M001179', 'M001198', 'M001187', 'M001194', 'M001195', 'M001151', 'N000184', 'O000168', 'P000609', 'P000606', 'R000586', 'R000591', 'R000582', 'R000592', 'R000580', 'R000598', 'R000603', 'R000604', 'S001183', 'S001189', 'S000522', 'S001187', 'T000467', 'T000463', 'W000812', 'W000798', 'W000819', 'W000795', 'W000804', 'Y000065']",69,70,0
hjres87-115,hjres,Environmental protection,"['B001250', 'L000584', 'S001192']",3,4,0
hjres73-115,hjres,Finance and financial sector,"['B001282', 'B001305', 'C001103', 'C001051', 'C001053', 'C001093', 'D000626', 'D000621', 'D000614', 'E000294', 'F000465', 'G000579', 'G000560', 'H001036', 'H001072', 'H001074', 'H001058', 'H001059', 'K000210', 'K000392', 'L000583', 'L000584', 'L000491', 'L000569', 'M001193', 'M001156', 'M001189', 'M001195', 'P000588', 'P000606', 'P000611', 'P000599', 'R000582', 'R000593', 'R000598', 'R000487', 'S000250', 'S001192', 'S001187', 'T000478', 'T000470', 'T000475', 'W000812', 'W000819', 'Z000017']",45,46,0
hjres74-115,hjres,"Civil rights and liberties, minority issues","['B001300', 'B000574', 'B001303', 'B001296', 'C001090', 'C001080', 'C001101', 'C001068', 'C000714', 'C000984', 'D000623', 'E000288', 'G000559', 'G000551', 'H000324', 'J000294', 'K000009', 'K000385', 'L000287', 'L000565', 'L000579', 'M000312', 'M001160', 'N000188', 'N000147', 'R000606', 'R000486', 'R000577', 'S001145', 'S000248', 'S000480', 'T000472', 'T000469', 'V000131', 'W000797', 'W000822', 'Y000062']",37,38,0
hjres80-115,hjres,Government operations and politics,"['C001053', 'M001163']",2,3,0
hjres42-115,hjres,Labor and employment,"['A000372', 'B001291', 'B001293', 'B001273', 'C001103', 'C001051', 'D000614', 'D000615', 'F000460', 'F000461', 'G000578', 'G000552', 'G000576', 'H001036', 'H001071', 'H001065', 'J000290', 'J000174', 'K000376', 'M001158', 'M001190', 'R000601', 'R000585', 'R000597', 'R000598', 'R000603', 'S001183', 'S001189', 'S000244', 'S000250', 'S001172', 'S001195', 'W000813', 'W000810', 'Y000065']",35,36,1
hjres89-115,hjres,International affairs,"['B001298', 'C001053', 'J000255', 'K000387']",4,5,0
hjres45-115,hjres,Public lands and natural resources,"['B001302', 'G000552', 'G000565', 'N000189', 'R000600']",5,6,0
hjres105-115,hjres,Crime and law enforcement,"['B001278', 'D000191', 'S001180', 'W000791']",4,5,0
hjres102-115,hjres,International affairs,"['B000574', 'C000714', 'D000191', 'E000296', 'J000255', 'K000389', 'L000573', 'L000551', 'M001184', 'M000312', 'M001160', 'P000607', 'W000187', 'W000800']",14,15,0
hjres134-115,hjres,Congress,"['F000466', 'G000579', 'G000584', 'G000581', 'H001065', 'H001074', 'K000389', 'M001187', 'O000170', 'R000607']",10,11,0
hjres2-115,hjres,Economics and public finance,"['A000374', 'A000372', 'A000369', 'A000375', 'B001298', 'B001299', 'B001257', 'B001293', 'B001243', 'B001260', 'C000059', 'C000266', 'C001077', 'C001053', 'C001108', 'C001062', 'C001096', 'C001048', 'D000191', 'E000294', 'F000460', 'F000466', 'F000461', 'G000579', 'G000580', 'G000584', 'G000566', 'G000577', 'G000568', 'G000558', 'H001056', 'H001077', 'H001072', 'H001067', 'J000297', 'K000362', 'K000392', 'L000566', 'M001199', 'M001197', 'M001201', 'M001151', 'N000189', 'O000168', 'P000601', 'P000611', 'R000597', 'R000582', 'R000592', 'R000607', 'R000603', 'S000051', 'S000250', 'S001148', 'S001172', 'S001195', 'S000583', 'S001199', 'S001187', 'T000478', 'T000238', 'T000463', 'U000031', 'W000791', 'Y000066']",65,66,0
hjres5-115,hjres,Economics and public finance,[],0,1,0
hjres133-115,hjres,Government operations and politics,"['C001053', 'M001163']",2,3,0
hjres132-115,hjres,Finance and financial sector,"['C001105', 'E000298', 'H001058', 'H001059', 'J000290', 'P000599', 'R000586']",7,8,0
hjres4-115,hjres,Congress,['O000170'],1,2,0
hjres3-115,hjres,Armed forces and national security,[],0,1,0
hjres135-115,hjres,International affairs,"['B001257', 'B001243', 'D000615', 'E000296', 'F000466', 'F000459', 'G000552', 'G000583', 'K000210', 'S001196', 'T000478', 'W000814']",12,13,0
hjres103-115,hjres,Labor and employment,"['G000565', 'L000566', 'L000583']",3,4,0
hjres104-115,hjres,International affairs,"['C000714', 'E000288', 'G000551', 'K000389', 'M000312', 'P000607', 'T000474']",7,8,0
hjres122-115,hjres,Finance and financial sector,"['B001299', 'B001282', 'B001302', 'B001257', 'B001243', 'B001305', 'C001063', 'D000626', 'D000616', 'D000614', 'F000464', 'F000459', 'G000566', 'G000560', 'H001045', 'H000324', 'H001074', 'H001067', 'H001058', 'K000388', 'K000392', 'L000578', 'L000583', 'L000491', 'M001158', 'M001177', 'M001156', 'M001189', 'N000190', 'P000601', 'P000258', 'P000606', 'P000599', 'R000597', 'R000409', 'R000607', 'R000603', 'R000609', 'S001187', 'W000812', 'W000819', 'W000814', 'W000816', 'Z000017']",44,45,0
hjres125-115,hjres,Economics and public finance,[],0,1,0
hjres113-115,hjres,Government operations and politics,"['B001287', 'B000574', 'C001112', 'C001068', 'D000598', 'D000623', 'G000559', 'G000551', 'G000535', 'K000375', 'L000551', 'L000397', 'L000562', 'M001143', 'N000179', 'N000147', 'S000480', 'T000465', 'W000800']",19,20,0
hjres114-115,hjres,Economics and public finance,[],0,1,0
hjres140-115,hjres,Health,"['B001296', 'C001097', 'C001072', 'C001067', 'C001068', 'C000984', 'D000197', 'D000216', 'D000624', 'E000288', 'E000179', 'E000215', 'G000559', 'G000585', 'G000410', 'G000551', 'H001050', 'H000324', 'H001064', 'H000874', 'H001068', 'J000032', 'J000298', 'K000379', 'K000389', 'K000390', 'L000586', 'L000551', 'L000570', 'M001163', 'M001166', 'M001137', 'M001196', 'N000002', 'N000179', 'N000015', 'N000147', 'P000034', 'P000604', 'P000597', 'R000606', 'R000608', 'R000486', 'R000515', 'S001168', 'S001145', 'S001150', 'S000185', 'S000510', 'S001200', 'T000469', 'V000081', 'V000108', 'W000797', 'W000800', 'Y000062']",56,57,0
hjres115-115,hjres,Crime and law enforcement,"['C001068', 'M001196', 'S000344']",3,4,0
hjres112-115,hjres,International affairs,[],0,1,0
hjres124-115,hjres,Economics and public finance,[],0,1,0
hjres123-115,hjres,Economics and public finance,[],0,1,1
hjres146-115,hjres,Congress,"['B001302', 'C001114', 'H001082', 'M001187', 'O000168', 'P000599']",6,7,0
hjres141-115,hjres,Government operations and politics,['J000255'],1,2,0
hjres39-115,hjres,Health,"['A000374', 'A000055', 'A000372', 'A000367', 'A000375', 'B001291', 'B001299', 'B001282', 'B001302', 'B001257', 'B001293', 'B001250', 'B001243', 'B001295', 'B000755', 'B001290', 'B001283', 'B001274', 'B001275', 'B001305', 'B001289', 'C000059', 'C001103', 'C000266', 'C001076', 'C001053', 'C001093', 'C001062', 'C001096', 'C001048', 'D000626', 'D000619', 'D000621', 'D000614', 'D000615', 'E000294', 'F000460', 'F000459', 'F000461', 'F000449', 'F000448', 'G000579', 'G000563', 'G000552', 'G000565', 'G000566', 'G000546', 'G000568', 'G000576', 'G000558', 'H001045', 'H001052', 'H001053', 'H001036', 'H001071', 'H001072', 'H001065', 'H001074', 'H001067', 'H001058', 'H001059', 'J000297', 'J000290', 'J000292', 'J000299', 'J000174', 'J000255', 'J000289', 'J000295', 'K000376', 'K000388', 'K000362', 'K000387', 'K000392', 'L000573', 'L000578', 'L000564', 'L000566', 'L000576', 'L000583', 'L000584', 'L000491', 'L000569', 'M001198', 'M001157', 'M001177', 'M001180', 'M001187', 'M001201', 'M001194', 'M001195', 'M001190', 'M001151', 'N000189', 'N000184', 'O000168', 'P000601', 'P000609', 'P000588', 'P000605', 'P000606', 'P000592', 'R000601', 'R000586', 'R000597', 'R000582', 'R000395', 'R000575', 'R000409', 'R000592', 'R000607', 'R000583', 'R000580', 'R000598', 'R000603', 'R000604', 'R000609', 'S001183', 'S001189', 'S000250', 'S000364', 'S001154', 'S001172', 'S000522', 'S001195', 'S000583', 'S001192', 'T000467', 'T000462', 'T000463', 'W000812', 'W000819', 'W000813', 'W000814', 'W000815', 'W000821', 'W000816', 'W000795', 'Y000063', 'Y000065']",140,141,0
hjres30-115,hjres,Congress,[],0,1,0
hjres37-115,hjres,Labor and employment,"['B001289', 'C000266', 'C001076', 'F000460', 'G000552', 'G000565', 'G000576', 'K000387', 'M001187', 'M001201', 'P000609', 'R000600', 'R000582', 'R000598', 'S000250', 'W000798', 'W000795']",17,18,1
hjres63-115,hjres,International affairs,"['B001289', 'C001107', 'H001071', 'H001048', 'R000591', 'W000815']",6,7,0
hjres97-115,hjres,Public lands and natural resources,[],0,1,0
hjres90-115,hjres,Government operations and politics,"['B001292', 'C001068', 'G000559', 'H000324', 'R000606', 'S001200', 'W000800']",7,8,0
hjres64-115,hjres,Government operations and politics,[],0,1,0
hjres99-115,hjres,Economics and public finance,[],0,1,1
hjres52-115,hjres,Environmental protection,"['B001302', 'C001096', 'G000552', 'G000565', 'P000588', 'R000600', 'S000250']",7,8,0
hjres55-115,hjres,Energy,"['B001302', 'C001096', 'G000552', 'G000565', 'N000189', 'R000600']",6,7,0
hjres36-115,hjres,Energy,"['A000375', 'B001302', 'B001290', 'B001283', 'C001103', 'C001076', 'C001109', 'C001062', 'C001094', 'C001096', 'C001048', 'D000615', 'F000461', 'G000552', 'G000565', 'H001071', 'J000297', 'J000292', 'K000362', 'L000573', 'L000585', 'L000578', 'L000564', 'L000566', 'M001190', 'N000189', 'P000588', 'R000600', 'R000598', 'R000603', 'S000250', 'S001192', 'T000467', 'T000470', 'W000820', 'W000806', 'W000821', 'W000816', 'W000804', 'Y000033']",40,41,0
