bioguide_id,name,gender,type,state,district,party,start,end,days_in_office,overall_bills_sponsored,overall_pass_rate
S000148,Charles Schumer,M,sen,NY,-,Democrat,2017-01-03,2023-01-03,2191,16,0.0625
S001184,Tim Scott,M,sen,SC,-,Republican,2017-01-03,2023-01-03,2191,30,0.03333333333333333
S000320,Richard Shelby,M,sen,AL,-,Republican,2017-01-03,2023-01-03,2191,10,0.0
T000250,John Thune,M,sen,SD,-,Republican,2017-01-03,2023-01-03,2191,60,0.03333333333333333
T000461,Patrick Toomey,M,sen,PA,-,Republican,2017-01-03,2023-01-03,2191,23,0.08695652173913043
V000128,Chris Van Hollen,M,sen,MD,-,Democrat,2017-01-03,2023-01-03,2191,21,0.0
W000779,Ron Wyden,M,sen,OR,-,Democrat,2017-01-03,2023-01-03,2191,77,0.0
Y000064,Todd Young,M,sen,IN,-,Republican,2017-01-03,2023-01-03,2191,42,0.023809523809523808
S001194,Brian Schatz,M,sen,HI,-,Democrat,2017-01-03,2023-01-03,2191,44,0.022727272727272728
C001095,Tom Cotton,M,sen,AR,-,Republican,2015-01-06,2021-01-03,2189,29,0.0
D000622,Tammy Duckworth,F,sen,IL,-,Democrat,2017-01-03,2023-01-03,2191,55,0.03636363636363636
W000817,Elizabeth Warren,F,sen,MA,-,Democrat,2013-01-03,2019-01-03,2191,80,0.0
K000383,Angus King,M,sen,ME,-,Independent,2013-01-03,2019-01-03,2191,28,0.0
D000618,Steve Daines,M,sen,MT,-,Republican,2015-01-06,2021-01-03,2189,66,0.045454545454545456
F000463,Deb Fischer,F,sen,NE,-,Republican,2013-01-03,2019-01-03,2191,32,0.0
C001098,Ted Cruz,M,sen,TX,-,Republican,2013-01-03,2019-01-03,2191,66,0.015151515151515152
K000384,Timothy Kaine,M,sen,VA,-,Democrat,2013-01-03,2019-01-03,2191,35,0.0
B001288,Cory Booker,M,sen,NJ,-,Democrat,2015-01-06,2021-01-03,2189,75,0.0
S001198,Dan Sullivan,M,sen,AK,-,Republican,2015-01-06,2021-01-03,2189,37,0.08108108108108109
P000612,David Perdue,M,sen,GA,-,Republican,2015-01-06,2021-01-03,2189,26,0.07692307692307693
E000295,Joni Ernst,F,sen,IA,-,Republican,2015-01-06,2021-01-03,2189,34,0.0
T000476,Thom Tillis,M,sen,NC,-,Republican,2015-01-06,2021-01-03,2189,18,0.05555555555555555
R000605,Mike Rounds,M,sen,SD,-,Republican,2015-01-06,2021-01-03,2189,48,0.0
S001197,Benjamin Sasse,M,sen,NE,-,Republican,2015-01-06,2021-01-03,2189,15,0.0
H001075,Kamala Harris,F,sen,CA,-,Democrat,2017-01-03,2023-01-03,2191,52,0.0
K000393,John Kennedy,M,sen,LA,-,Republican,2017-01-03,2023-01-03,2191,28,0.03571428571428571
H001076,Margaret Hassan,F,sen,NH,-,Democrat,2017-01-03,2023-01-03,2191,16,0.0
C001113,Catherine Cortez Masto,F,sen,NV,-,Democrat,2017-01-03,2023-01-03,2191,23,0.0
J000300,Doug Jones,M,sen,AL,-,Democrat,2018-01-03,2021-01-03,1096,11,0.0
S001203,Tina Smith,F,sen,MN,-,Democrat,2018-01-03,2021-01-03,1096,26,0.0
H001079,Cindy Hyde-Smith,F,sen,MS,-,Republican,2018-04-09,2021-01-03,1000,4,0.0
S001141,Jefferson Sessions,M,sen,AL,-,Republican,2015-01-06,2017-02-08,764,0,
F000457,Alan Franken,M,sen,MN,-,Democrat,2015-01-06,2018-01-02,1092,23,0.0
S001202,Luther Strange,M,sen,AL,-,Republican,2017-02-09,2018-01-03,328,4,0.0
C000567,Thad Cochran,M,sen,MS,-,Republican,2015-01-06,2018-04-01,1181,4,0.0
M000303,John McCain,M,sen,AZ,-,Republican,2017-01-03,2018-08-25,599,24,0.08333333333333333
K000352,Jon Kyl,M,sen,AZ,-,Republican,2018-09-05,2018-12-31,117,3,0.0
C001071,Bob Corker,M,sen,TN,-,Republican,2013-01-03,2019-01-03,2191,20,0.05
H000338,Orrin Hatch,M,sen,UT,-,Republican,2013-01-03,2019-01-03,2191,125,0.032
M001170,Claire McCaskill,F,sen,MO,-,Democrat,2013-01-03,2019-01-03,2191,54,0.018518518518518517
N000032,Bill Nelson,M,sen,FL,-,Democrat,2013-01-03,2019-01-03,2191,74,0.013513513513513514
D000607,Joe Donnelly,M,sen,IN,-,Democrat,2013-01-03,2019-01-03,2191,35,0.02857142857142857
F000444,Jeff Flake,M,sen,AZ,-,Republican,2013-01-03,2019-01-03,2191,68,0.058823529411764705
H001041,Dean Heller,M,sen,NV,-,Republican,2013-01-03,2019-01-03,2191,72,0.027777777777777776
H001069,Heidi Heitkamp,F,sen,ND,-,Democrat,2013-01-03,2019-01-03,2191,44,0.0
A000055,Robert Aderholt,M,rep,AL,4,Republican,2017-01-03,2019-01-03,730,5,0.0
A000367,Justin Amash,M,rep,MI,3,Republican,2017-01-03,2019-01-03,730,11,0.0
B001270,Karen Bass,F,rep,CA,37,Democrat,2017-01-03,2019-01-03,730,27,0.037037037037037035
B001257,Gus Bilirakis,M,rep,FL,12,Republican,2017-01-03,2019-01-03,730,41,0.0
B001250,Rob Bishop,M,rep,UT,1,Republican,2017-01-03,2019-01-03,730,26,0.038461538461538464
B000490,Sanford Bishop,M,rep,GA,2,Democrat,2017-01-03,2019-01-03,730,4,0.0
B001243,Marsha Blackburn,F,rep,TN,7,Republican,2017-01-03,2019-01-03,730,32,0.03125
B000574,Earl Blumenauer,M,rep,OR,3,Democrat,2017-01-03,2019-01-03,730,32,0.0
B000755,Kevin Brady,M,rep,TX,8,Republican,2017-01-03,2019-01-03,730,14,0.2857142857142857
