bioguide_id,name,gender,type,state,district,party,start,end,days_in_office
P000603,Rand Paul,M,sen,KY,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
P000595,Gary Peters,M,sen,MI,-,Democrat,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
P000449,Robert Portman,M,sen,OH,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
R000595,Marco Rubio,M,sen,FL,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
S000148,Charles Schumer,M,sen,NY,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
S001184,Tim Scott,M,sen,SC,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
S000320,Richard Shelby,M,sen,AL,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
T000250,John Thune,M,sen,SD,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
T000461,Patrick Toomey,M,sen,PA,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
V000128,Chris Van Hollen,M,sen,MD,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
W000779,Ron Wyden,M,sen,OR,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
Y000064,Todd Young,M,sen,IN,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
S001194,Brian Schatz,M,sen,HI,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
C001095,Tom Cotton,M,sen,AR,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
D000622,Tammy Duckworth,F,sen,IL,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
W000817,Elizabeth Warren,F,sen,MA,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
K000383,Angus King,M,sen,ME,-,Independent,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
D000618,Steve Daines,M,sen,MT,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
F000463,Deb Fischer,F,sen,NE,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
C001098,Ted Cruz,M,sen,TX,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
K000384,Timothy Kaine,M,sen,VA,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
B001288,Cory Booker,M,sen,NJ,-,Democrat,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
S001198,Dan Sullivan,M,sen,AK,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
P000612,David Perdue,M,sen,GA,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
E000295,Joni Ernst,F,sen,IA,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
T000476,Thom Tillis,M,sen,NC,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
R000605,Mike Rounds,M,sen,SD,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
S001197,Benjamin Sasse,M,sen,NE,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
H001075,Kamala Harris,F,sen,CA,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
K000393,John Kennedy,M,sen,LA,-,Republican,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
H001076,Margaret Hassan,F,sen,NH,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
C001113,Catherine Cortez Masto,F,sen,NV,-,Democrat,2017-01-03,2023-01-03,2191 days 00:00:00.000000000
J000300,Doug Jones,M,sen,AL,-,Democrat,2018-01-03,2021-01-03,1096 days 00:00:00.000000000
S001203,Tina Smith,F,sen,MN,-,Democrat,2018-01-03,2021-01-03,1096 days 00:00:00.000000000
H001079,Cindy Hyde-Smith,F,sen,MS,-,Republican,2018-04-09,2021-01-03,1000 days 00:00:00.000000000
S001141,Jefferson Sessions,M,sen,AL,-,Republican,2015-01-06,2017-02-08,764 days 00:00:00.000000000
F000457,Alan Franken,M,sen,MN,-,Democrat,2015-01-06,2018-01-02,1092 days 00:00:00.000000000
S001202,Luther Strange,M,sen,AL,-,Republican,2017-02-09,2018-01-03,328 days 00:00:00.000000000
C000567,Thad Cochran,M,sen,MS,-,Republican,2015-01-06,2018-04-01,1181 days 00:00:00.000000000
M000303,John McCain,M,sen,AZ,-,Republican,2017-01-03,2018-08-25,599 days 00:00:00.000000000
K000352,Jon Kyl,M,sen,AZ,-,Republican,2018-09-05,2018-12-31,117 days 00:00:00.000000000
C001071,Bob Corker,M,sen,TN,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
H000338,Orrin Hatch,M,sen,UT,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
M001170,Claire McCaskill,F,sen,MO,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
N000032,Bill Nelson,M,sen,FL,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
D000607,Joe Donnelly,M,sen,IN,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
F000444,Jeff Flake,M,sen,AZ,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
H001041,Dean Heller,M,sen,NV,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
H001069,Heidi Heitkamp,F,sen,ND,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
A000055,Robert Aderholt,M,rep,AL,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
A000367,Justin Amash,M,rep,MI,3,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001270,Karen Bass,F,rep,CA,37,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001257,Gus Bilirakis,M,rep,FL,12,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001250,Rob Bishop,M,rep,UT,1,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B000490,Sanford Bishop,M,rep,GA,2,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001243,Marsha Blackburn,F,rep,TN,7,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B000574,Earl Blumenauer,M,rep,OR,3,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B000755,Kevin Brady,M,rep,TX,8,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001274,Mo Brooks,M,rep,AL,5,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
